OverallQual,OverallCond,YearBuilt,SalePrice,GrLivArea,TotalBsmtSF
4,4,1925,107000,1328,686
7,9,1939,311500,1954,798
7,5,2005,167240,1248,1248
7,5,2006,204900,1498,1498
6,5,2002,200000,2267,1010
6,6,1975,179900,1552,713
4,6,1971,97000,864,864
10,5,2003,386250,2392,2392
5,5,1971,112000,1302,630
7,5,1995,290000,2520,1203
6,6,1970,106000,987,483
5,5,1967,125000,912,912
7,5,2005,192500,1555,1373
6,6,1959,148000,1194,1194
8,5,1995,403000,2794,1462
6,5,1972,94500,987,483
5,6,1976,128200,894,894
6,5,2002,216500,1960,860
6,3,1971,89500,987,483
7,5,2004,185500,1414,1414
7,7,1993,194500,1744,996
8,5,2007,318000,1694,1694
6,4,1945,113000,1487,735
8,5,2008,262500,1566,1566
5,9,1945,110500,866,686
5,4,1900,79000,1440,540
6,6,1980,120000,1217,626
7,5,1994,205000,2110,948
7,5,1988,241500,1872,1845
6,8,1910,137000,1928,1020
6,5,1954,140000,1375,1367
7,5,2003,180000,1668,840
6,7,1958,277000,2144,1444
3,2,1940,76500,1306,728
8,5,2006,235000,1625,1573
6,5,2004,173000,1640,798
6,7,1964,158000,1302,1302
5,6,1957,145000,1314,1314
7,5,1999,230000,2291,975
6,5,2003,207500,1728,864
7,5,2006,220000,1604,1604
7,5,2001,231500,1792,963
5,5,1956,97000,882,0
6,5,1962,176000,1382,1362
8,5,2007,276000,2574,1482
6,7,1977,151000,1212,506
5,7,1929,130000,1316,926
5,5,1925,73000,764,680
6,6,1981,175500,1422,1422
6,5,1997,185000,1511,802
5,8,1939,179500,2192,720
5,6,1940,120500,778,740
6,7,1976,148000,1113,1143
8,5,2006,266000,1939,1095
7,7,1954,241500,1363,1385
8,7,1999,290000,2270,1152
6,6,1958,139000,1632,1240
5,7,1982,124500,816,816
7,7,1925,205000,1548,952
7,5,2003,201000,1560,1560
4,5,1951,141000,864,864
9,5,2006,415298,2121,2121
7,5,1977,192000,2022,1160
7,6,1989,228500,1982,807
6,5,2006,185000,1262,1262
7,5,2007,207500,1314,1314
8,5,2008,244600,1468,1468
6,5,1992,179200,1575,1575
7,5,2006,164700,1250,625
6,7,1962,159000,1734,912
4,4,1971,88000,858,858
5,5,1967,122000,900,882
6,7,1915,153575,1396,698
8,5,2006,233230,1919,1079
5,6,1912,135900,1716,780
5,4,1949,131000,1716,768
7,7,1977,235000,2263,795
6,5,1953,167000,1644,1416
6,6,1984,142500,1003,1003
5,5,1950,152000,1558,910
7,5,1997,239000,1950,975
6,6,1968,175000,1743,702
6,8,1950,158500,1152,1092
5,5,1953,157000,1336,1165
8,5,1998,267000,2452,1028
7,5,2001,205000,1541,1541
5,7,1972,149900,894,894
7,9,1880,295000,3493,1470
8,5,2004,305900,2000,2000
7,5,1990,225000,2243,700
6,7,1920,89500,1406,319
4,5,1940,82500,861,861
9,5,2003,360000,1944,1896
6,5,1993,165600,1501,697
6,6,1948,132000,972,972
5,7,1939,119900,1118,793
7,5,1965,375000,2036,2136
7,7,1925,178000,1641,728
7,5,2004,188500,1432,716
7,7,1980,260000,2353,845
8,5,2006,270000,1959,1088
7,5,1993,260000,2646,1347
7,5,1980,187500,1472,1372
9,5,2006,342643,2596,1249
8,5,2004,354000,2468,1136
7,5,1986,301000,2730,1502
3,8,1955,126175,1163,1162
7,7,1967,242000,2978,710
5,6,1941,87000,803,720
8,5,1993,324000,1719,1719
6,5,1960,145250,1383,1383
6,6,1916,214500,2134,844
5,5,1920,78000,1192,596
5,4,1964,119000,1728,1728
5,6,1958,139000,1056,1056
8,5,2003,284000,1629,3206
7,5,2004,207000,1358,1358
6,5,1998,192000,1638,943
5,6,1965,228950,1786,1499
9,5,2005,377426,1922,1922
7,5,2002,214000,1536,1536
7,7,1984,202500,1621,1208
6,7,1958,155000,1215,1215
8,5,2002,202900,1908,967
4,4,1950,82000,841,721
3,4,1949,87500,1040,0
9,5,2005,266000,1684,1684
5,3,1976,85000,1112,536
6,5,1939,140200,1577,972
6,8,1960,151500,958,958
6,5,1960,157500,1478,1478
7,5,2003,154000,1626,764
9,5,2005,437154,2728,1848
9,5,2007,318061,1869,1869
7,5,1986,190000,1453,1453
5,6,1941,95000,1111,616
6,8,1928,105900,720,624
6,5,1940,140000,1595,940
6,5,1995,177500,1200,1200
6,6,1992,173000,1167,1158
5,5,1976,134000,1142,1142
5,4,1958,130000,1352,1062
8,5,1998,280000,1924,1086
6,6,1978,156000,912,888
5,5,1940,145000,1505,883
7,5,2003,198500,1922,0
6,8,1972,118000,987,483
6,5,1976,190000,1574,796
5,7,1920,147000,1344,672
6,5,1963,159000,1394,1394
6,5,1962,165000,1431,1099
5,6,1954,132000,1268,1268
5,7,1959,162000,1287,1063
6,5,2000,172400,1664,953
4,4,1959,134432,1588,0
6,5,1984,125000,752,744
5,6,1953,123000,1319,608
7,5,2003,219500,1928,847
1,1,1922,61000,904,683
5,5,1996,148000,914,870
8,5,2004,340000,2466,1580
9,2,2010,394432,1856,1856
6,5,2000,179000,1800,982
5,6,1924,127000,1691,1026
7,5,2006,187750,1301,1293
7,5,2006,213500,1797,939
6,3,1928,76000,784,784
6,5,1992,240000,1953,1580
8,5,2004,192000,1269,1256
5,3,1910,81000,1184,658
6,6,1976,125000,1125,1041
7,5,1999,191000,1479,1468
10,5,2007,426000,2332,1682
5,8,1900,119000,1367,861
6,5,2001,215000,1961,804
5,7,1959,106500,882,0
4,5,1941,100000,788,788
5,6,1940,109000,1034,735
5,6,1956,129000,1144,1144
5,5,1972,123000,894,894
5,5,1962,169500,1812,864
5,2,1920,67000,1077,961
7,5,2006,241000,1550,1092
8,5,1996,245500,1288,1260
7,5,2005,164990,1310,1310
5,8,1940,108000,672,672
8,5,1998,258000,2263,1141
6,5,1995,168000,1572,806
4,4,1976,150000,1620,1281
6,5,1936,115000,1639,1064
6,7,1915,177000,1680,840
7,5,2006,280000,2172,1063
8,5,2007,339750,2078,1034
5,3,1958,60000,1276,1276
5,5,1955,145000,1056,1056
7,5,2009,222000,1478,1470
5,6,1927,115000,1028,1008
7,5,1993,228000,2097,1080
7,5,2007,181134,1340,1340
6,7,1978,149500,1400,672
6,6,1918,239000,2624,1370
5,6,1940,126000,1134,756
5,6,1968,142000,1056,1056
7,5,1997,206300,1344,1344
6,7,1977,215000,1602,1602
5,5,1954,113000,988,988
8,5,1998,315000,2630,1470
6,5,1956,139000,1196,1196
7,8,1946,135000,1389,651
7,5,1989,275000,1644,1518
4,6,1957,109008,907,907
7,5,2007,195400,1208,1208
6,5,1988,175000,1412,1392
6,5,1971,85400,987,483
6,7,1920,79900,1198,901
5,5,1971,122500,1365,765
6,5,1997,181000,1604,926
4,7,1972,81000,630,630
7,6,1996,212000,1661,799
6,8,1920,116000,1118,648
6,7,1926,119000,904,884
5,6,1913,90350,694,440
6,8,1920,110000,1196,684
10,5,2008,555000,2402,3094
4,4,1955,118000,1440,1440
5,7,1930,162900,1573,1078
7,5,2006,172500,1258,1258
7,5,1994,210000,1908,915
6,5,1956,127500,1689,1436
6,6,1966,190000,1888,1517
7,5,1998,199900,1886,930
6,6,1937,119500,1376,780
3,7,1948,120000,1183,649
6,8,1930,110000,813,813
7,5,1975,280000,1533,1533
6,5,1996,204000,1756,872
8,5,2008,210000,1590,768
5,5,1976,188000,1728,1728
7,6,1973,175500,1242,1242
5,5,1916,98000,1344,624
4,6,1954,256000,1663,1364
8,7,1925,161000,1666,588
5,4,1950,110000,1203,709
8,5,2009,263435,1935,832
7,9,1936,155000,1135,560
5,5,1965,62383,864,864
6,7,1934,188700,1660,715
5,5,1978,124000,1040,1040
7,5,2004,178740,1414,1375
7,5,1970,167000,1277,1277
5,7,1942,146500,1644,728
8,5,2006,250000,1634,1626
6,5,1993,187000,1710,832
8,5,1985,212000,1502,1488
7,6,1977,190000,1969,808
6,5,2005,148000,1072,547
8,5,2006,440000,1976,1976
8,5,2000,251000,1652,1494
5,6,1963,132500,970,970
6,5,1997,208900,1493,1478
9,5,2006,380000,2643,2153
8,5,2007,297000,1718,1705
4,7,1937,89471,1131,907
9,5,2004,326000,1850,1833
9,5,2003,374000,1792,1792
7,8,1915,155000,1826,910
6,5,1998,164000,1216,1216
5,7,1962,132500,999,999
5,7,1950,147000,1113,1113
5,7,1965,156000,1073,1073
5,6,1971,175000,1484,1484
5,4,1900,160000,2414,954
4,8,1970,86000,630,630
5,6,1976,115000,1304,264
6,7,1941,133000,1578,806
6,5,2006,172785,1456,728
5,6,1960,155000,1269,1269
5,8,1938,91300,886,190
4,5,1920,34900,720,720
8,5,1992,430000,3228,3200
7,6,1925,184000,1820,1026
5,7,1967,130000,899,864
5,7,1958,120000,912,912
6,5,1973,113000,1218,672
7,5,2005,226700,1768,866
5,7,1965,140000,1214,1214
7,8,1959,289000,1801,1501
6,5,1974,147000,1322,855
5,5,1952,124500,1960,960
8,5,1993,215000,1911,777
6,5,2009,208300,1218,1218
7,9,1928,161000,1378,689
5,6,1959,124500,1041,1041
5,7,1951,164900,1363,1008
7,5,2005,202665,1368,1368
5,5,1958,129900,864,864
6,5,1983,134000,1080,1084
5,5,1926,96500,789,768
10,5,2009,402861,2020,2006
6,6,1972,158000,2119,689
7,5,1996,265000,2344,1264
6,5,1998,211000,1796,794
7,9,1926,234000,2080,1276
4,7,1900,106250,1294,0
6,6,1957,150000,1244,1244
6,7,1947,159000,1664,1004
10,5,2007,184750,4676,3138
7,5,1996,315750,2398,1379
7,5,2005,176000,1266,1257
5,7,1956,132000,928,928
9,5,2008,446261,2713,1452
4,7,1920,86000,605,528
6,3,1957,200624,2515,2035
6,5,1988,175000,1509,1461
6,8,1920,128000,1362,611
5,7,1955,107500,827,0
1,3,1946,39300,334,0
8,5,2004,178000,1414,707
5,7,1910,107500,1347,1117
7,5,1998,188000,1724,880
4,5,1972,111250,864,864
5,5,1968,158000,1159,1051
8,5,2001,272000,1601,1581
9,5,2006,315000,1838,1838
8,5,2000,248000,2285,969
7,5,1998,213250,1680,1650
7,5,1998,133000,767,723
7,5,2006,179665,1496,654
7,5,1988,229000,2183,1204
6,7,1923,210000,1635,1065
5,7,1970,129500,768,768
5,7,1955,125000,825,825
7,5,2003,263000,2094,912
6,6,1977,140000,1069,1069
5,6,1957,112500,928,928
8,5,2006,255500,1717,1709
4,5,1949,108000,1126,0
7,5,2003,284000,2046,998
5,6,1922,113000,1048,993
5,5,1957,141000,1092,1092
4,6,1920,108000,1336,637
7,5,1996,175000,1446,729
7,5,2003,234000,1557,1374
5,6,1957,121500,1392,1392
5,5,1974,170000,1389,1389
5,6,1940,108000,996,996
6,7,1918,185000,1674,1163
7,5,1992,268000,2295,1095
6,4,1915,128000,1647,806
9,5,2005,325000,2504,1122
7,5,2004,214000,1535,1517
8,8,1983,316600,2132,1496
5,5,1979,135960,943,943
5,5,1965,142600,1728,1728
6,6,1959,120000,864,864
7,5,2009,224500,1692,846
7,5,2000,170000,1430,384
5,7,1971,139000,1109,372
5,5,1947,118500,1216,832
7,7,1928,145000,1477,861
5,6,1966,164500,1320,1164
7,5,2007,146000,1392,689
5,5,1954,131500,1795,1050
6,6,1960,181900,1429,1144
8,5,2008,253293,2042,2042
6,5,1990,118500,816,816
10,9,1893,325000,2775,1237
4,7,1935,133000,1573,884
8,5,2005,369900,2028,1868
6,7,1918,130000,838,816
5,6,1982,137000,860,840
5,8,1968,143000,1473,1437
5,6,1930,79500,935,742
7,5,2004,185900,1582,770
10,5,2008,451950,2296,1722
5,8,1982,138000,816,816
6,5,2003,140000,848,848
5,6,1975,110000,924,924
8,5,2005,319000,1826,1814
6,7,1910,114504,1368,684
7,5,2006,194201,1402,1258
5,6,1977,217500,1647,1430
6,6,1980,151000,1556,716
8,5,2005,275000,1904,1058
6,6,1937,141000,1375,780
8,5,1992,220000,1915,908
7,5,2004,151000,1200,600
7,5,2002,221000,1494,1494
7,6,1965,205000,1986,768
5,5,1996,152000,1040,1040
5,8,1948,225000,2008,896
8,6,1934,359100,3194,965
4,5,1961,118500,1029,1029
9,5,2000,313000,2153,1440
6,6,1978,148000,1032,1032
8,5,2001,261500,1872,1299
5,5,2007,147000,1120,1120
4,6,1972,75500,630,630
6,7,1963,137500,1054,936
6,5,2002,183200,1509,783
6,6,1954,105500,832,832
9,5,2007,314813,1828,1822
8,5,2003,305000,2262,1482
3,3,1914,67000,864,864
6,7,1974,240000,2614,1522
5,6,1977,135000,980,980
6,5,2000,168500,1512,756
6,5,1972,165150,1790,732
6,6,1962,160000,1116,1116
5,5,1960,139900,1422,978
6,6,1955,153000,1520,1156
5,5,1969,135000,2080,1040
6,5,1964,168500,1350,1248
5,6,1880,124000,1750,636
8,5,2006,209500,1554,1554
7,5,1977,82500,1411,1386
5,7,1954,139400,1056,1056
6,5,1980,144000,1056,1056
6,7,1914,200000,3395,1440
2,3,1936,60000,800,264
5,4,1954,93000,1387,811
5,7,1910,85000,796,796
8,5,2006,264561,1567,1520
8,5,2003,274000,1518,1518
7,5,2001,226000,1929,1057
8,7,1972,345000,2704,1952
5,5,1969,152000,1620,780
9,5,2009,370878,1766,1766
6,5,1971,143250,981,981
5,5,1950,98300,1048,0
6,5,1953,155000,1094,1094
6,5,1966,155000,1839,756
4,6,1970,84500,630,630
7,6,2007,205950,1665,813
4,5,1940,108000,1510,755
7,5,1996,191000,1716,880
6,7,1906,135000,1469,756
8,6,1995,350000,2113,2109
6,5,1971,88000,1092,525
5,7,1959,145500,1053,1053
7,6,1931,149000,1502,776
6,5,1948,97500,1458,912
5,7,1964,167000,1486,1486
7,7,1976,197900,1935,793
8,7,1994,402000,2448,1629
6,3,1968,110000,1392,1392
4,5,1972,137500,1181,1138
8,5,2005,423000,2097,2077
8,5,2000,230500,1936,1406
6,5,1965,129000,2380,1021
6,5,1994,193500,1679,1408
5,6,1956,168000,1437,1188
4,5,1922,137500,1180,700
6,5,2005,173500,1476,738
6,6,1925,103600,1369,672
6,6,1977,165000,1208,1208
6,7,1957,257500,1839,1477
6,6,1965,140000,1136,1136
6,6,1978,148500,1441,855
4,2,1900,87000,1774,1095
5,8,1924,109500,792,768
8,5,2008,372500,2046,2046
5,5,1961,128500,988,988
6,5,1980,143000,923,923
5,5,1932,159434,1520,793
6,5,1996,173000,1291,1291
9,5,2002,285000,1668,1626
7,5,1998,221000,1839,1195
7,5,1984,207500,2090,1190
7,6,2007,227875,1761,874
7,5,2004,148800,1102,551
8,6,2007,392000,1419,1419
6,5,2005,194700,1362,1362
6,5,2004,141000,848,848
10,6,1994,755000,4316,2444
7,5,1989,335000,2519,1210
5,6,1921,108480,1073,1073
5,6,1936,141500,1539,927
6,6,1987,176000,1137,1112
5,7,1921,89000,616,616
5,7,1952,123500,1148,980
5,8,1965,138500,894,894
7,5,2004,196000,1391,1391
8,5,2002,312500,1800,1800
7,5,1969,140000,1164,1164
8,5,2006,361919,2576,1234
5,9,1900,140000,1812,360
7,5,2004,213000,1484,1473
4,5,1930,55000,1092,0
7,5,1971,302000,1824,1643
8,5,2006,254000,1324,1324
7,5,2007,179540,1456,728
5,7,1966,109900,904,876
3,6,1935,52000,729,270
4,7,1900,102776,1178,859
8,5,1988,189000,1228,1228
4,5,1970,129000,960,960
6,8,1976,130500,1479,725
6,5,1974,165000,1350,1064
7,8,1890,159500,2554,718
5,6,1973,157000,1178,1176
7,5,1993,341000,2418,1311
5,6,1969,128500,971,971
8,5,1985,275000,1742,1742
6,5,2004,143000,848,848
4,7,1970,124500,864,864
4,6,1954,135000,1470,941
9,5,2007,320000,1698,1698
4,6,1970,120500,864,864
6,9,1988,222000,1680,880
7,5,2007,194500,1232,1232
5,5,1958,110000,1776,1584
4,5,1925,103000,1208,780
8,5,1995,236500,1616,1595
7,5,2003,187500,1146,868
7,5,1998,222500,2031,1153
5,6,1961,131400,1144,864
5,5,1968,108000,948,948
7,7,1914,163000,1768,880
3,4,1950,93500,1040,0
8,5,2005,239900,1801,893
5,5,1987,179000,1200,1200
7,5,2004,190000,1728,864
5,7,1910,132000,1432,264
6,8,1961,142000,912,912
7,5,2000,179000,1349,1349
5,6,1963,175000,1464,520
8,5,1993,180000,1337,1337
8,9,1976,299800,2715,1142
7,5,2000,236000,2256,952
7,7,1880,265979,2640,1240
7,5,1996,260400,1720,1720
4,3,1945,98000,1529,0
4,7,1910,96500,1140,576
7,5,2003,162000,1320,660
6,5,1997,217000,1494,1479
8,5,2005,275500,2098,1030
6,8,1969,156000,1026,1026
6,5,1999,172500,1471,729
8,5,2007,212000,1768,866
6,5,1978,158900,1386,672
7,5,1999,179400,1501,744
8,5,1995,290000,2531,1318
6,6,1959,127500,864,864
5,5,1924,100000,1301,1145
7,5,2009,215200,1547,756
8,5,1999,337000,2365,1252
8,5,1995,270000,1494,1494
9,5,2008,264132,1506,1498
7,5,1988,196500,1714,980
6,7,1940,160000,1750,983
7,5,2004,216837,1836,1860
8,5,2003,538000,3279,1650
5,5,1982,134900,858,858
4,5,1951,102000,1220,836
6,5,1976,107000,1117,1029
5,5,1958,114500,912,912
8,5,2006,395000,1973,1935
6,5,1998,162000,1204,1204
7,5,2005,221500,1614,1614
5,5,1974,142500,894,864
5,5,1977,144000,2020,0
6,5,1977,135000,1004,975
7,5,1995,176000,1253,1237
6,5,1992,175900,1603,761
7,5,2001,187100,1430,1413
5,6,1978,165500,1110,1097
6,6,1914,128000,1484,742
6,5,1967,161500,1342,1372
5,6,1915,139000,1652,686
7,5,2004,233000,2084,956
4,7,1954,107900,901,901
6,8,1966,187500,2087,832
7,5,2005,160200,1145,1145
6,5,1976,146800,1062,1029
7,5,1996,269790,2013,1117
8,5,2007,225000,1496,1496
7,5,1994,194500,1895,712
6,6,1980,171000,1564,650
6,5,1977,143500,1285,660
5,5,1953,110000,773,773
9,5,2008,485000,3140,1926
5,7,1937,175000,1768,731
6,5,1997,200000,1688,616
4,7,1916,109900,1196,1196
7,5,2005,189000,1456,728
9,5,2008,582933,2822,1734
5,5,1954,118000,1128,936
7,5,2008,227680,1428,1417
5,5,1967,135500,980,980
5,6,1923,223500,1576,1324
5,5,1966,159950,1086,1024
5,5,1898,106000,2138,849
6,6,1974,181000,1309,1040
6,5,2004,144500,848,848
5,5,1952,55993,1044,540
6,6,1958,157900,1442,1442
5,7,1918,116000,1250,686
7,5,1998,224900,1661,1649
5,6,1954,137000,1008,1008
8,5,2002,271000,1689,1568
6,7,1971,155000,1052,1010
7,5,2009,224000,1358,1358
7,5,2003,183000,1640,798
4,4,1953,93000,936,936
7,5,2003,225000,1733,847
6,7,1940,139500,1489,778
8,5,2006,232600,1489,1489
10,5,2007,385000,2084,2078
5,6,1924,109500,784,784
7,5,2001,189000,1434,1454
5,5,1967,185000,2126,1013
7,5,2005,147400,1223,600
6,5,1957,166000,1392,1392
7,5,2005,151000,1200,600
7,6,2003,237000,1829,941
6,6,1964,167000,1516,1516
5,6,1961,139950,1144,1144
4,7,1950,128000,1067,1067
5,6,1948,153500,1559,1559
6,5,1973,100000,987,483
5,6,1995,144000,1099,1099
5,6,1946,130500,1200,768
6,8,1925,140000,1482,672
5,8,1904,157500,1539,650
6,7,1966,174900,1165,1127
5,4,1961,141000,1800,1800
5,8,1915,153900,1416,876
5,5,1975,171000,1701,1390
7,5,1993,213000,1775,740
5,6,1972,133500,864,864
6,8,1908,240000,2358,907
6,7,1976,187000,1855,528
6,5,2003,131500,848,848
8,5,2003,215000,1456,1273
7,5,1941,164000,1646,918
6,6,1964,158000,1445,1127
5,4,1955,170000,1779,1763
5,8,1962,127000,1040,1040
6,6,1978,147000,1026,940
6,5,1994,174000,1481,702
7,5,1976,152000,1370,1090
6,7,1968,250000,2654,1054
7,8,1918,189950,1426,912
5,4,1965,131500,1039,1039
6,5,1984,152000,1097,1040
5,5,1959,132500,1148,1148
7,5,2007,250580,1372,1372
5,6,1970,148500,1002,1002
8,5,2006,248900,1646,1638
4,5,1961,129000,1120,1040
5,6,1948,169000,2320,0
7,5,1993,236000,1949,1050
5,5,1962,109500,894,894
6,5,1998,200500,1682,804
5,7,1953,116000,910,105
5,7,1949,133000,1268,832
5,6,1941,66500,1131,676
8,5,2007,303477,2610,1184
4,5,1963,132250,1040,1064
9,5,2004,350000,2224,1462
5,7,1961,148000,1155,1109
5,8,1978,136500,864,864
5,5,2005,157000,1090,1090
7,5,1990,187500,1717,1156
6,5,1992,178000,1593,808
4,5,1912,118500,2230,795
5,5,1967,100000,892,892
9,5,1999,328900,1709,1698
5,5,1959,145000,1712,1626
5,7,1955,135500,1393,816
8,6,1970,268000,2217,2217
6,4,1953,149500,1505,1505
5,7,1949,122900,924,672
6,5,1978,172500,1683,918
6,8,1963,154500,1068,1059
5,5,1954,165000,1383,1383
5,5,1979,118858,1535,0
6,5,1963,140000,1796,780
4,6,1936,106500,951,951
5,5,1979,142953,2240,0
9,5,2009,611657,2364,2330
5,7,1961,135000,1236,912
4,6,1971,110000,858,858
5,7,1957,153000,1306,992
7,5,2003,180000,1509,783
7,5,2006,240000,1670,1670
5,6,1967,125500,902,876
5,5,1954,128000,1063,1056
